rho_g,vx_g,vy_g,vz_g,ax_g,ay_g,az_g,z,zmin
0.000303444,0,0.000151722,0,-0.000303444,0,0,-4.025,-4.03
0.000315891,0,0.000157946,0,-0.000315891,0,0,-4.015,-4.02
0.000328816,0,0.000164408,0,-0.000328816,0,0,-4.005,-4.01
0.000342235,0,0.000171118,0,-0.000342235,0,0,-3.995,-4
0.000356166,0,0.000178083,0,-0.000356166,0,0,-3.985,-3.99
0.000370628,0,0.000185314,0,-0.000370628,0,0,-3.975,-3.98
0.000385638,0,0.000192819,0,-0.000385638,0,0,-3.965,-3.97
0.000401215,0,0.000200608,0,-0.000401215,0,0,-3.955,-3.96
0.00041738,0,0.00020869,0,-0.00041738,0,0,-3.945,-3.95
0.000434153,0,0.000217077,0,-0.000434153,0,0,-3.935,-3.94
0.000451555,0,0.000225778,0,-0.000451555,0,0,-3.925,-3.93
0.000469608,0,0.000234804,0,-0.000469608,0,0,-3.915,-3.92
0.000488333,0,0.000244167,0,-0.000488333,0,0,-3.905,-3.91
0.000507754,0,0.000253877,0,-0.000507754,0,0,-3.895,-3.9
0.000527895,0,0.000263948,0,-0.000527895,0,0,-3.885,-3.89
0.00054878,0,0.00027439,0,-0.00054878,0,0,-3.875,-3.88
0.000570434,0,0.000285217,0,-0.000570434,0,0,-3.865,-3.87
0.000592884,0,0.000296442,0,-0.000592884,0,0,-3.855,-3.86
0.000616155,0,0.000308077,0,-0.000616155,0,0,-3.845,-3.85
0.000640275,0,0.000320138,0,-0.000640275,0,0,-3.835,-3.84
0.000665273,0,0.000332637,0,-0.000665273,0,0,-3.825,-3.83
0.000691178,0,0.000345589,0,-0.000691178,0,0,-3.815,-3.82
0.00071802,0,0.00035901,0,-0.00071802,0,0,-3.805,-3.81
0.00074583,0,0.000372915,0,-0.00074583,0,0,-3.795,-3.8
0.00077464,0,0.00038732,0,-0.00077464,0,0,-3.785,-3.79
0.000804482,0,0.000402241,0,-0.000804482,0,0,-3.775,-3.78
0.000835389,0,0.000417695,0,-0.000835389,0,0,-3.765,-3.77
0.000867398,0,0.000433699,0,-0.000867398,0,0,-3.755,-3.76
0.000900543,0,0.000450272,0,-0.000900543,0,0,-3.745,-3.75
0.000934861,0,0.000467431,0,-0.000934861,0,0,-3.735,-3.74
0.00097039,0,0.000485195,0,-0.00097039,0,0,-3.725,-3.73
0.001007168,0,0.000503584,0,-0.001007168,0,0,-3.715,-3.72
0.001045236,0,0.000522618,0,-0.001045236,0,0,-3.705,-3.71
0.001084634,0,0.000542317,0,-0.001084634,0,0,-3.695,-3.7
0.001125405,0,0.000562702,0,-0.001125405,0,0,-3.685,-3.69
0.001167591,0,0.000583796,0,-0.001167591,0,0,-3.675,-3.68
0.001211238,0,0.000605619,0,-0.001211238,0,0,-3.665,-3.67
0.00125639,0,0.000628195,0,-0.00125639,0,0,-3.655,-3.66
0.001303096,0,0.000651548,0,-0.001303096,0,0,-3.645,-3.65
0.001351402,0,0.000675701,0,-0.001351402,0,0,-3.635,-3.64
0.001401359,0,0.00070068,0,-0.001401359,0,0,-3.625,-3.63
0.001453018,0,0.000726509,0,-0.001453018,0,0,-3.615,-3.62
0.00150643,0,0.000753215,0,-0.00150643,0,0,-3.605,-3.61
0.00156165,0,0.000780825,0,-0.00156165,0,0,-3.595,-3.6
0.001618731,0,0.000809366,0,-0.001618731,0,0,-3.585,-3.59
0.001677732,0,0.000838866,0,-0.001677732,0,0,-3.575,-3.58
0.001738709,0,0.000869354,0,-0.001738709,0,0,-3.565,-3.57
0.001801722,0,0.000900861,0,-0.001801722,0,0,-3.555,-3.56
0.001866832,0,0.000933416,0,-0.001866832,0,0,-3.545,-3.55
0.001934101,0,0.000967051,0,-0.001934101,0,0,-3.535,-3.54
0.002003594,0,0.001001797,0,-0.002003594,0,0,-3.525,-3.53
0.002075377,0,0.001037688,0,-0.002075377,0,0,-3.515,-3.52
0.002149516,0,0.001074758,0,-0.002149516,0,0,-3.505,-3.51
0.002226081,0,0.001113041,0,-0.002226081,0,0,-3.495,-3.5
0.002305143,0,0.001152572,0,-0.002305143,0,0,-3.485,-3.49
0.002386774,0,0.001193387,0,-0.002386774,0,0,-3.475,-3.48
0.002471049,0,0.001235525,0,-0.002471049,0,0,-3.465,-3.47
0.002558044,0,0.001279022,0,-0.002558044,0,0,-3.455,-3.46
0.002647836,0,0.001323918,0,-0.002647836,0,0,-3.445,-3.45
0.002740507,0,0.001370253,0,-0.002740507,0,0,-3.435,-3.44
0.002836137,0,0.001418068,0,-0.002836137,0,0,-3.425,-3.43
0.00293481,0,0.001467405,0,-0.00293481,0,0,-3.415,-3.42
0.003036613,0,0.001518307,0,-0.003036613,0,0,-3.405,-3.41
0.003141633,0,0.001570817,0,-0.003141633,0,0,-3.395,-3.4
0.00324996,0,0.00162498,0,-0.00324996,0,0,-3.385,-3.39
0.003361686,0,0.001680843,0,-0.003361686,0,0,-3.375,-3.38
0.003476906,0,0.001738453,0,-0.003476906,0,0,-3.365,-3.37
0.003595715,0,0.001797857,0,-0.003595715,0,0,-3.355,-3.36
0.003718212,0,0.001859106,0,-0.003718212,0,0,-3.345,-3.35
0.003844497,0,0.001922249,0,-0.003844497,0,0,-3.335,-3.34
0.003974674,0,0.001987337,0,-0.003974674,0,0,-3.325,-3.33
0.004108848,0,0.002054424,0,-0.004108848,0,0,-3.315,-3.32
0.004247127,0,0.002123564,0,-0.004247127,0,0,-3.305,-3.31
0.004389621,0,0.00219481,0,-0.004389621,0,0,-3.295,-3.3
0.004536441,0,0.00226822,0,-0.004536441,0,0,-3.285,-3.29
0.004687703,0,0.002343852,0,-0.004687703,0,0,-3.275,-3.28
0.004843525,0,0.002421763,0,-0.004843525,0,0,-3.265,-3.27
0.005004026,0,0.002502013,0,-0.005004026,0,0,-3.255,-3.26
0.005169328,0,0.002584664,0,-0.005169328,0,0,-3.245,-3.25
0.005339557,0,0.002669779,0,-0.005339557,0,0,-3.235,-3.24
0.005514841,0,0.00275742,0,-0.005514841,0,0,-3.225,-3.23
0.005695309,0,0.002847654,0,-0.005695309,0,0,-3.215,-3.22
0.005881094,0,0.002940547,0,-0.005881094,0,0,-3.205,-3.21
0.006072332,0,0.003036166,0,-0.006072332,0,0,-3.195,-3.2
0.006269163,0,0.003134581,0,-0.006269163,0,0,-3.185,-3.19
0.006471726,0,0.003235863,0,-0.006471726,0,0,-3.175,-3.18
0.006680166,0,0.003340083,0,-0.006680166,0,0,-3.165,-3.17
0.00689463,0,0.003447315,0,-0.00689463,0,0,-3.155,-3.16
0.007115267,0,0.003557634,0,-0.007115267,0,0,-3.145,-3.15
0.007342231,0,0.003671116,0,-0.007342231,0,0,-3.135,-3.14
0.007575677,0,0.003787839,0,-0.007575677,0,0,-3.125,-3.13
0.007815764,0,0.003907882,0,-0.007815764,0,0,-3.115,-3.12
0.008062654,0,0.004031327,0,-0.008062654,0,0,-3.105,-3.11
0.008316511,0,0.004158255,0,-0.008316511,0,0,-3.095,-3.1
0.008577502,0,0.004288751,0,-0.008577502,0,0,-3.085,-3.09
0.0088458,0,0.0044229,0,-0.0088458,0,0,-3.075,-3.08
0.009121578,0,0.004560789,0,-0.009121578,0,0,-3.065,-3.07
0.009405012,0,0.004702506,0,-0.009405012,0,0,-3.055,-3.06
0.009696285,0,0.004848142,0,-0.009696285,0,0,-3.045,-3.05
0.009995578,0,0.004997789,0,-0.009995578,0,0,-3.035,-3.04
0.010303078962692457,0,0.005151539,0,-0.010303079,0,0,-3.025,-3.03
0.010618978,0,0.005309489,0,-0.010618978,0,0,-3.015,-3.02
0.010943468332622466,0,0.005471734,0,-0.010943468,0,0,-3.005,-3.01
0.011276746560527547,0,0.005638373,0,-0.011276747,0,0,-2.995,-3
0.011619012662177115,0,0.005809506,0,-0.011619013,0,0,-2.985,-2.99
0.01197047,0,0.005985235,0,-0.01197047,0,0,-2.975,-2.98
0.012331325075262772,0,0.006165663,0,-0.012331325,0,0,-2.965,-2.97
0.012701788101939886,0,0.006350894,0,-0.012701788,0,0,-2.955,-2.96
0.013082072467195551,0,0.006541036,0,-0.013082072,0,0,-2.945,-2.95
0.013472395024799062,0,0.006736198,0,-0.013472395,0,0,-2.935,-2.94
0.013872976053607142,0,0.006936488,0,-0.013872976,0,0,-2.925,-2.93
0.014284039270340053,0,0.00714202,0,-0.014284039,0,0,-2.915,-2.92
0.014705811840994138,0,0.007352906,0,-0.014705812,0,0,-2.905,-2.91
0.015138524,0,0.007569262,0,-0.015138524,0,0,-2.895,-2.9
0.015582411012979464,0,0.007791206,0,-0.015582411,0,0,-2.885,-2.89
0.016037709,0,0.008018855,0,-0.016037709,0,0,-2.875,-2.88
0.01650466,0,0.00825233,0,-0.01650466,0,0,-2.865,-2.87
0.016983508398121638,0,0.008491754,0,-0.016983508,0,0,-2.855,-2.86
0.017474502,0,0.008737251,0,-0.017474502,0,0,-2.845,-2.85
0.017977891967483048,0,0.008988946,0,-0.017977892,0,0,-2.835,-2.84
0.018493933862369062,0,0.009246967,0,-0.018493934,0,0,-2.825,-2.83
0.019022885968796983,0,0.009511443,0,-0.019022886,0,0,-2.815,-2.82
0.019565010238753795,0,0.009782505,0,-0.01956501,0,0,-2.805,-2.81
0.020120572095195417,0,0.010060286047597709,0,-0.020120572,0,0,-2.795,-2.8
0.020689840423294126,0,0.010344920211647063,0,-0.02068984,0,0,-2.785,-2.79
0.021273087559681558,0,0.010636543779840779,0,-0.021273088,0,0,-2.775,-2.78
0.021870589,0,0.010935295,0,-0.021870589,0,0,-2.765,-2.77
0.022482625,0,0.011241312391084645,0,-0.022482625,0,0,-2.755,-2.76
0.023109477,0,0.011554738,0,-0.023109477,0,0,-2.745,-2.75
0.023751430945016007,0,0.011875715472508003,0,-0.023751431,0,0,-2.735,-2.74
0.024408777,0,0.012204388478635956,0,-0.024408777,0,0,-2.725,-2.73
0.025081807410615962,0,0.012540903705307981,0,-0.025081807,0,0,-2.715,-2.72
0.025770818321763894,0,0.012885409160881947,0,-0.025770818,0,0,-2.705,-2.71
0.026476108994647626,0,0.013238054497323813,0,-0.026476109,0,0,-2.695,-2.7
0.027197981989364434,0,0.013598990994682217,0,-0.027197982,0,0,-2.685,-2.69
0.027936743088624476,0,0.013968371544312238,0,-0.027936743,0,0,-2.675,-2.68
